22,14,19,13,21,12,8,21,16,10,23,26,29,29,16,1,15,29,8,23,28,23,15,20,15,29,25,8,9,10
12,0,2,24,2,25,20,19,20,9,1,29,3,5,5,18,4,16,23,26,28,17,4,23,6,17,26,21,8,8
5,6,13,16,7,17,26,27,3,7,25,6,7,23,11,17,16,2,18,4,18,4,10,19,15,5,25,0,12,11
6,25,18,12,17,25,23,28,13,28,26,7,22,17,3,19,2,25,11,16,29,1,20,27,8,17,16,23,5,5
14,2,25,11,18,26,18,26,6,28,12,13,25,19,3,15,12,2,18,12,5,3,16,12,6,15,12,16,14,7
22,21,1,18,10,4,14,16,17,29,14,11,26,26,12,4,2,0,7,0,22,22,23,28,28,4,22,18,16,2
10,7,19,29,28,13,5,15,18,21,11,27,17,24,23,1,27,1,17,12,28,1,21,4,9,17,4,23,5,18
19,1,13,22,27,1,21,3,8,28,7,9,1,14,0,0,0,21,22,9,13,16,7,22,13,14,0,14,29,8
12,18,13,5,21,6,26,4,2,14,2,18,25,16,19,26,28,23,14,5,1,13,12,19,25,6,5,19,21,6
20,4,5,1,11,5,24,18,2,3,9,18,15,7,17,21,4,15,23,25,11,12,25,4,20,14,26,14,15,9
