23,15,20,14,22,13,9,22,17,11,24,27,30,30,17,2,16,30,9,24,29,24,16,21,16,30,26,9,10,11
13,1,3,25,3,26,21,20,21,10,2,30,4,6,6,19,5,17,24,27,29,18,5,24,7,18,27,22,9,9
6,7,14,17,8,18,27,28,4,8,26,7,8,24,12,18,17,3,19,5,19,5,11,20,16,6,26,1,13,12
7,26,19,13,18,26,24,29,14,29,27,8,23,18,4,20,3,26,12,17,30,2,21,28,9,18,17,24,6,6
15,3,26,12,19,27,19,27,7,29,13,14,26,20,4,16,13,3,19,13,6,4,17,13,7,16,13,17,15,8
23,22,2,19,11,5,15,17,18,30,15,12,27,27,13,5,3,1,8,1,23,23,24,29,29,5,23,19,17,3
11,8,20,30,29,14,6,16,19,22,12,28,18,25,24,2,28,2,18,13,29,2,22,5,10,18,5,24,6,19
20,2,14,23,28,2,22,4,9,29,8,10,2,15,1,1,1,22,23,10,14,17,8,23,14,15,1,15,30,9
13,19,14,6,22,7,27,5,3,15,3,19,26,17,20,27,29,24,15,6,2,14,13,20,26,7,6,20,22,7
21,5,6,2,12,6,25,19,3,4,10,19,16,8,18,22,5,16,24,26,12,13,26,5,21,15,27,15,16,10
